# source, target, weight
0,44,1
0,45,1
0,46,1
0,47,1
0,48,1
0,50,1
0,51,1
0,52,1
0,53,1
0,54,1
0,55,1
0,56,1
0,57,1
0,62,1
0,63,1
0,65,1
0,66,1
0,67,1
0,68,1
0,69,1
0,70,1
0,71,1
0,72,1
0,73,1
0,74,1
0,75,1
0,77,1
0,80,1
0,82,1
0,83,1
0,84,1
1,82,1
2,45,1
2,46,1
2,47,1
2,49,1
2,52,1
2,53,1
2,54,1
2,55,1
2,57,1
2,58,1
2,59,1
2,60,1
2,61,1
2,64,1
2,66,1
2,67,1
2,69,1
2,70,1
2,71,1
2,73,1
2,74,1
2,77,1
2,81,1
2,82,1
3,44,1
3,45,1
3,65,1
3,79,1
4,82,1
5,45,1
5,47,1
5,49,1
5,52,1
5,54,1
5,60,1
5,64,1
5,66,1
5,68,1
5,74,1
5,82,1
6,54,1
6,60,1
6,82,1
7,54,1
7,82,1
8,82,1
9,70,1
9,71,1
10,46,1
10,52,1
10,53,1
10,54,1
10,58,1
10,60,1
10,66,1
10,68,1
10,69,1
10,70,1
10,71,1
10,73,1
10,75,1
10,82,1
10,83,1
11,55,1
11,67,1
11,68,1
11,75,1
11,81,1
11,83,1
12,47,1
12,49,1
12,53,1
12,54,1
12,57,1
12,60,1
12,66,1
12,68,1
12,74,1
12,75,1
12,81,1
12,82,1
13,70,1
14,74,1
15,82,1
16,59,1
17,52,1
18,47,1
18,60,1
19,45,1
19,64,1
19,68,1
19,82,1
20,66,1
20,70,1
20,71,1
20,82,1
21,46,1
21,54,1
21,70,1
21,71,1
21,82,1
21,83,1
22,70,1
23,47,1
23,54,1
23,60,1
23,82,1
24,68,1
25,47,1
26,47,1
27,57,1
28,73,1
29,49,1
29,55,1
29,60,1
29,82,1
30,57,1
31,47,1
31,48,1
31,51,1
31,56,1
32,45,1
32,47,1
32,48,1
32,51,1
32,54,1
32,60,1
32,66,1
32,69,1
32,70,1
32,71,1
32,83,1
34,47,1
34,74,1
35,82,1
36,47,1
37,68,1
38,47,1
38,54,1
38,70,1
38,71,1
38,82,1
39,45,1
39,46,1
39,47,1
39,48,1
39,49,1
39,51,1
39,52,1
39,53,1
39,55,1
39,58,1
39,59,1
39,60,1
39,61,1
39,64,1
39,66,1
39,67,1
39,68,1
39,69,1
39,72,1
39,73,1
39,74,1
39,75,1
39,76,1
39,77,1
39,78,1
39,80,1
39,81,1
40,45,1
40,54,1
40,82,1
41,82,1
42,48,1
42,51,1
43,52,1
43,54,1
43,67,1
44,84,1
45,84,1
49,44,1
49,62,1
49,79,1
49,84,1
52,44,1
53,79,1
54,44,1
54,50,1
54,63,1
54,79,1
54,84,1
63,84,1
67,44,1
67,76,1
69,44,1
