# index, _pos
0,"array([3.76075213, 0.766986  ])"
1,"array([3.14698876, 0.15532147])"
2,"array([3.84494458, 0.71172352])"
3,"array([3.17399876, 0.99034172])"
4,"array([2.96542579, 0.2954746 ])"
5,"array([3.72553966, 0.5485232 ])"
6,"array([3.37489484, 0.25043876])"
7,"array([3.16664943, 0.3949245 ])"
8,"array([ 3.14152358, -0.01018528])"
9,"array([ 3.79746255, -0.0134521 ])"
10,"array([3.72872429, 0.64809689])"
11,"array([3.90811749, 0.9029753 ])"
12,"array([3.84507515, 0.62720272])"
13,"array([ 3.8161189 , -0.20862304])"
14,"array([4.4568501 , 0.23541273])"
15,"array([ 3.31584228, -0.03020534])"
16,"array([4.66424575, 1.08341523])"
17,"array([3.42302182, 1.38788279])"
18,"array([3.9546141 , 0.11626567])"
19,"array([3.61852487, 0.44519675])"
20,"array([3.65796128, 0.11165744])"
21,"array([3.50937648, 0.38157373])"
22,"array([ 3.61580923, -0.17219672])"
23,"array([3.61135889, 0.28996206])"
24,"array([4.46652993, 0.42614465])"
25,"array([ 4.0508366 , -0.09829947])"
26,"array([4.3233239 , 0.05323915])"
27,"array([4.46059162, 1.25311273])"
28,"array([3.85605916, 1.50165058])"
29,"array([3.37959833, 0.58322642])"
30,"array([4.30745439, 1.40460766])"
31,"array([4.28958665, 0.4534262 ])"
32,"array([3.83992515, 0.53242069])"
33,"array([ 5.36604781, -0.23598936])"
34,"array([4.21448573, 0.21343161])"
35,"array([2.95228473, 0.46501672])"
36,"array([ 4.20127835, -0.04230281])"
37,"array([4.51430276, 0.57739944])"
38,"array([3.55980899, 0.19779707])"
39,"array([3.91181961, 0.80963096])"
40,"array([3.19050844, 0.55893487])"
41,"array([2.99265774, 0.12611253])"
42,"array([4.49331249, 0.75256646])"
43,"array([3.32216805, 1.00193166])"
44,"array([3.46228107, 0.90848553])"
45,"array([3.5058173 , 0.70539122])"
46,"array([3.62110485, 0.6728812 ])"
47,"array([3.9689916 , 0.32936048])"
48,"array([4.17366436, 0.60085952])"
49,"array([3.53780955, 0.81882533])"
50,"array([3.28063153, 0.69603061])"
51,"array([4.1714455 , 0.71009071])"
52,"array([3.59568804, 0.96643249])"
53,"array([3.63417088, 0.78653751])"
54,"array([3.483103  , 0.59885494])"
55,"array([3.66734289, 0.88850537])"
56,"array([4.30014431, 0.67471976])"
57,"array([4.13076887, 1.0207571 ])"
58,"array([4.03219476, 0.73243313])"
59,"array([4.304494  , 0.96078399])"
60,"array([3.71259312, 0.43657407])"
61,"array([4.21523293, 0.85815296])"
62,"array([3.56086435, 1.15998223])"
63,"array([3.44240141, 1.01200762])"
64,"array([3.95636218, 0.49815683])"
65,"array([3.36259221, 1.15655158])"
66,"array([3.85503558, 0.43540615])"
67,"array([3.68473086, 1.05051811])"
68,"array([4.03537312, 0.60122988])"
69,"array([3.76740307, 0.86174406])"
70,"array([3.75668237, 0.24049472])"
71,"array([3.76104561, 0.34127508])"
72,"array([4.01204779, 1.1318217 ])"
73,"array([3.82419906, 1.07545686])"
74,"array([4.07594852, 0.47500687])"
75,"array([3.82381627, 0.95662788])"
76,"array([3.77507542, 1.27643828])"
77,"array([4.00066422, 0.99152045])"
78,"array([4.18564482, 1.20864865])"
79,"array([3.23644724, 0.82837371])"
80,"array([3.891271  , 1.18287446])"
81,"array([4.07398963, 0.85796008])"
82,"array([3.39700084, 0.37968962])"
83,"array([3.61975558, 0.57292003])"
84,"array([3.37507844, 0.81386588])"
