# source, target, type
0,1,Partners
0,1,Time
2,3,Time
2,4,Time
2,5,Partners
2,6,Partners
3,49,Time
3,47,Partners
3,98,Time
3,99,Time
3,48,Partners
5,183,Time
6,5,Partners
7,8,Partners
7,9,Partners
7,10,Partners
9,8,Partners
10,8,Partners
10,9,Partners
11,12,Partners
11,13,Partners
11,14,Partners
13,12,Partners
13,12,Time
13,14,Partners
14,12,Partners
15,16,Partners
15,17,Partners
15,18,Time
15,19,Partners
17,16,Partners
17,19,Partners
18,156,Time
18,44,Partners
19,16,Partners
19,53,Computer
19,53,Time
19,49,Time
20,21,Partners
20,22,Partners
20,23,Partners
20,23,Time
22,21,Partners
22,23,Partners
23,21,Partners
24,25,Partners
24,26,Partners
24,27,Partners
25,26,Partners
25,26,Time
27,25,Partners
27,26,Partners
28,29,Partners
28,30,Partners
28,31,Partners
28,32,Time
29,31,Partners
30,29,Partners
30,31,Partners
33,34,Computer
33,35,Partners
33,35,Time
33,36,Partners
33,37,Partners
33,38,Partners
35,124,Partners
36,37,Partners
38,36,Partners
38,37,Partners
38,72,Partners
39,40,Partners
39,40,Time
39,41,Partners
39,42,Partners
41,40,Partners
42,41,Partners
42,41,Computer
42,40,Partners
43,44,Partners
43,44,Time
43,45,Partners
43,18,Partners
45,44,Partners
45,18,Partners
45,166,Time
46,3,Partners
46,3,Computer
46,3,Time
46,47,Partners
46,48,Partners
46,49,Time
47,48,Partners
49,53,Computer
49,53,Time
50,51,Partners
50,52,Partners
50,53,Computer
50,53,Time
50,49,Partners
50,49,Computer
50,49,Time
51,49,Partners
52,51,Partners
52,49,Partners
53,79,Partners
53,78,Partners
54,55,Partners
54,56,Time
54,57,Time
54,58,Partners
54,58,Computer
54,58,Time
54,59,Time
54,60,Time
54,61,Partners
56,59,Time
56,98,Time
56,177,Partners
58,55,Partners
59,120,Time
59,145,Time
60,98,Partners
60,91,Time
60,79,Time
60,104,Time
60,150,Time
60,71,Time
61,55,Partners
61,58,Partners
62,63,Time
62,64,Partners
62,64,Computer
62,64,Time
63,92,Time
63,146,Partners
63,106,Partners
63,64,Time
63,147,Partners
65,66,Time
65,67,Partners
65,68,Partners
65,69,Partners
66,144,Partners
66,145,Partners
66,145,Time
68,67,Partners
68,69,Partners
69,67,Partners
70,71,Partners
70,72,Partners
72,71,Partners
72,88,Computer
72,88,Time
73,66,Time
73,74,Partners
73,75,Partners
73,76,Partners
74,75,Partners
74,76,Partners
75,76,Partners
75,92,Time
75,135,Time
75,133,Time
77,53,Partners
77,78,Partners
77,79,Partners
79,78,Partners
80,81,Partners
80,81,Time
80,82,Partners
80,83,Partners
80,84,Time
82,81,Partners
82,83,Partners
82,83,Computer
82,83,Time
83,81,Partners
84,159,Partners
84,180,Partners
84,181,Partners
85,86,Partners
85,87,Partners
85,88,Partners
86,87,Partners
86,88,Partners
88,87,Partners
88,161,Time
89,90,Partners
89,91,Partners
89,92,Partners
90,92,Computer
90,91,Computer
91,149,Time
92,91,Partners
93,94,Partners
93,94,Time
93,95,Partners
93,96,Partners
93,97,Partners
94,97,Partners
95,94,Partners
95,128,Time
95,97,Partners
95,97,Time
96,174,Partners
99,60,Partners
99,98,Partners
99,103,Partners
100,101,Partners
100,102,Partners
100,102,Time
102,101,Partners
103,60,Partners
103,60,Time
103,98,Partners
103,104,Time
104,127,Partners
105,106,Time
105,107,Partners
105,108,Partners
105,109,Partners
105,110,Partners
106,146,Partners
107,108,Partners
109,107,Partners
109,108,Partners
110,133,Partners
110,134,Time
110,135,Partners
110,135,Time
111,112,Partners
111,113,Partners
111,114,Partners
112,113,Partners
114,112,Partners
114,113,Partners
115,116,Time
115,117,Partners
118,59,Partners
118,59,Time
118,119,Computer
118,119,Time
118,120,Time
118,121,Computer
118,121,Time
120,179,Partners
121,59,Time
121,123,Time
121,120,Time
122,35,Partners
122,35,Time
122,123,Time
122,124,Partners
122,121,Time
125,126,Partners
125,127,Partners
125,104,Partners
125,104,Computer
126,44,Time
126,127,Partners
126,127,Computer
126,127,Time
126,104,Partners
128,164,Partners
128,97,Time
128,165,Partners
128,116,Partners
129,130,Partners
129,131,Partners
129,132,Partners
130,131,Partners
130,132,Partners
131,132,Partners
132,23,Time
134,169,Partners
134,170,Partners
134,171,Partners
134,171,Computer
134,171,Time
135,133,Partners
135,133,Computer
135,133,Time
136,137,Partners
136,4,Partners
136,138,Partners
137,4,Partners
138,137,Partners
138,4,Partners
139,140,Time
139,75,Time
139,58,Time
139,141,Partners
139,142,Partners
139,142,Time
139,119,Partners
139,119,Time
140,12,Time
140,123,Partners
140,160,Partners
140,161,Partners
141,119,Partners
142,119,Partners
142,141,Partners
143,66,Partners
143,25,Computer
143,144,Partners
143,144,Time
143,145,Partners
144,26,Computer
145,29,Time
145,144,Partners
145,144,Computer
147,106,Partners
147,146,Partners
148,57,Partners
148,149,Partners
148,150,Partners
149,57,Partners
150,149,Partners
150,57,Partners
151,152,Partners
153,34,Partners
153,154,Partners
154,34,Partners
155,156,Partners
155,157,Partners
155,157,Time
155,158,Partners
155,159,Time
156,157,Partners
156,157,Time
156,158,Partners
157,158,Partners
159,180,Partners
159,181,Partners
160,123,Partners
161,123,Partners
161,31,Time
161,160,Partners
162,163,Partners
162,163,Computer
162,163,Time
164,116,Partners
164,165,Partners
165,116,Partners
167,168,Partners
169,171,Partners
170,169,Partners
170,169,Time
170,171,Partners
172,173,Partners
175,176,Partners
177,108,Time
178,102,Time
178,166,Partners
179,44,Time
180,181,Partners
182,183,Partners
182,184,Partners
183,184,Partners
